source	target
<EVENT> How she know that Steve was a college bowling champion <EVENT> Steve beat Mary four times in a row	<EVENT> know <ARGS> How she know that Steve was a college bowling champion <EVENT> beat <ARGS> Steve beat Mary four times in a row
<EVENT> he loved her <EVENT> He acting kind of strange <EVENT> He telling her that he loved her	<EVENT> acting <ARGS> He acting kind of strange <EVENT> telling <ARGS> He telling her that he loved her <EVENT> loved <ARGS> he loved her
<EVENT> Tom became happier as a result of his stellar bartball performances <EVENT> He became a better bartball player <EVENT> He inject steroids to improve his performance <EVENT> He decided to inject steroids to improve his performance <EVENT> Tom was on the high school bartball team	<EVENT> was <ARGS> Tom was on the high school bartball team <EVENT> decided <ARGS> He decided to inject steroids to improve his performance <EVENT> inject <ARGS> He inject steroids to improve his performance <EVENT> became <ARGS> He became a better bartball player <EVENT> became <ARGS> Tom became happier as a result of his stellar bartball performances
<EVENT> Today were chicken nuggets in the cafeteria <EVENT> Amy getting nuggets because all her friend did	<EVENT> were <ARGS> Today were chicken nuggets in the cafeteria <EVENT> getting <ARGS> Amy getting nuggets because all her friend did
<EVENT> He showed it his dog <EVENT> He made a toy by knitting a sock <EVENT> The dog sniffed it carefully	<EVENT> made <ARGS> He made a toy by knitting a sock <EVENT> showed <ARGS> He showed it his dog <EVENT> sniffed <ARGS> The dog sniffed it carefully
<EVENT> he freed himself of his roommate <EVENT> Jake confronted his roommate <EVENT> Jake lived with a roommate who stole from him <EVENT> Jake's life been better since he freed himself of his roommate <EVENT> Jake knew he had to kick him out <EVENT> One day Jake missing 35 dollars from his dresser	<EVENT> lived <ARGS> Jake lived with a roommate who stole from him <EVENT> knew <ARGS> Jake knew he had to kick him out <EVENT> missing <ARGS> One day Jake missing 35 dollars from his dresser <EVENT> confronted <ARGS> Jake confronted his roommate <EVENT> freed <ARGS> he freed himself of his roommate <EVENT> been <ARGS> Jake's life been better since he freed himself of his roommate
<EVENT> Pam get the job <EVENT> Pam feeling a lot of pressure to get the job	<EVENT> get <ARGS> Pam get the job <EVENT> feeling <ARGS> Pam feeling a lot of pressure to get the job
<EVENT> Marissa just finished a scary movie with her boyfriend <EVENT> She terrified after watching it	<EVENT> finished <ARGS> Marissa just finished a scary movie with her boyfriend <EVENT> terrified <ARGS> She terrified after watching it
<EVENT> A friend and myself go bird watching <EVENT> A friend and myself decided to go bird watching	<EVENT> decided <ARGS> A friend and myself decided to go bird watching <EVENT> go <ARGS> A friend and myself go bird watching
<EVENT> she beat Lisa multiple times <EVENT> Lisa challenged Betty to a game of hopscotch	<EVENT> challenged <ARGS> Lisa challenged Betty to a game of hopscotch <EVENT> beat <ARGS> she beat Lisa multiple times
<EVENT> Amy could only have one of the snacks she wanted <EVENT> the snacks she wanted	<EVENT> wanted <ARGS> the snacks she wanted <EVENT> have <ARGS> Amy could only have one of the snacks she wanted
<EVENT> Tom saw many interesting sights on the road <EVENT> Tom's friends enjoyed Tom's stories <EVENT> Tom told his friends about his best experiences	<EVENT> saw <ARGS> Tom saw many interesting sights on the road <EVENT> told <ARGS> Tom told his friends about his best experiences <EVENT> enjoyed <ARGS> Tom's friends enjoyed Tom's stories
<EVENT> Bob's granddaughter lost <EVENT> He told her a story of being lost for half a day as a child <EVENT> He had her now <EVENT> The story made the girl smile even if it were a lie <EVENT> He calm the child's mind	<EVENT> lost <ARGS> Bob's granddaughter lost <EVENT> had <ARGS> He had her now <EVENT> calm <ARGS> He calm the child's mind <EVENT> told <ARGS> He told her a story of being lost for half a day as a child <EVENT> made <ARGS> The story made the girl smile even if it were a lie
<EVENT> She went down to the laundry room to look <EVENT> One day after doing laundry she couldn't find the match <EVENT> She look <EVENT> Kim depressed when she realized it was really lost	<EVENT> went <ARGS> She went down to the laundry room to look <EVENT> look <ARGS> She look <EVENT> find <ARGS> One day after doing laundry she couldn't find the match <EVENT> depressed <ARGS> Kim depressed when she realized it was really lost
<EVENT> I singing along to every song <EVENT> My group told me to give it a try <EVENT> After hours of hesitation I summoned the courage to try it <EVENT> try it	<EVENT> singing <ARGS> I singing along to every song <EVENT> told <ARGS> My group told me to give it a try <EVENT> summoned <ARGS> After hours of hesitation I summoned the courage to try it <EVENT> try <ARGS> try it
<EVENT> she would fold <EVENT> She felt she did enough	<EVENT> felt <ARGS> She felt she did enough <EVENT> fold <ARGS> she would fold
<EVENT> they found some bowls and plates that were old <EVENT> They began the process by clearing away all the sand	<EVENT> began <ARGS> They began the process by clearing away all the sand <EVENT> found <ARGS> they found some bowls and plates that were old
<EVENT> Momma loves her kids <EVENT> She wanted them to get ahead <EVENT> Momma wanted her kids to do well <EVENT> Momma enrolled her children in French classes <EVENT> Her children now going to France	<EVENT> loves <ARGS> Momma loves her kids <EVENT> wanted <ARGS> Momma wanted her kids to do well <EVENT> wanted <ARGS> She wanted them to get ahead <EVENT> enrolled <ARGS> Momma enrolled her children in French classes <EVENT> going <ARGS> Her children now going to France
<EVENT> The producern't like the sound effects on the vocals <EVENT> In the studio Andre insisted the producer use effects on the vocals	<EVENT> insisted <ARGS> In the studio Andre insisted the producer use effects on the vocals <EVENT> like <ARGS> The producern't like the sound effects on the vocals
<EVENT> when she saw Val waiting for her at the door <EVENT> Her stomach dropped when she saw Val waiting for her at the door <EVENT> when Val waiting for her at the door	<EVENT> dropped <ARGS> Her stomach dropped when she saw Val waiting for her at the door <EVENT> saw <ARGS> when she saw Val waiting for her at the door <EVENT> waiting <ARGS> when Val waiting for her at the door
<EVENT> A man bought the tennis balls from Matt <EVENT> He posted online that he was selling the balls for a cheap price	<EVENT> posted <ARGS> He posted online that he was selling the balls for a cheap price <EVENT> bought <ARGS> A man bought the tennis balls from Matt
<EVENT> Chrissy was an artist <EVENT> One day she decided to paint her bedroom walls <EVENT> She loved to paint <EVENT> she paint her bedroom walls	<EVENT> was <ARGS> Chrissy was an artist <EVENT> loved <ARGS> She loved to paint <EVENT> decided <ARGS> One day she decided to paint her bedroom walls <EVENT> paint <ARGS> she paint her bedroom walls
<EVENT> Lucy jumped out of bed <EVENT> Lucy decided to play to pass the time <EVENT> Grandma reminded her that wouldn't be for hours <EVENT> Lucy pass the time <EVENT> She asked her grandma if they could go see fireworks <EVENT> She ran <EVENT> Lucy awoke <EVENT> Lucy play to pass the time	<EVENT> awoke <ARGS> Lucy awoke <EVENT> jumped <ARGS> Lucy jumped out of bed <EVENT> ran <ARGS> She ran <EVENT> asked <ARGS> She asked her grandma if they could go see fireworks <EVENT> reminded <ARGS> Grandma reminded her that wouldn't be for hours <EVENT> decided <ARGS> Lucy decided to play to pass the time <EVENT> play <ARGS> Lucy play to pass the time <EVENT> pass <ARGS> Lucy pass the time
<EVENT> Her parents called asking if she wanted to bring him over for dinner <EVENT> He agreed to go	<EVENT> called <ARGS> Her parents called asking if she wanted to bring him over for dinner <EVENT> agreed <ARGS> He agreed to go
<EVENT> Laura went home feeling defeated <EVENT> The owner called a day later to say she had changed her mind <EVENT> Laura wanted to adopt a kitten <EVENT> she changed her mind <EVENT> She found one she really liked with black and gray spots	<EVENT> wanted <ARGS> Laura wanted to adopt a kitten <EVENT> found <ARGS> She found one she really liked with black and gray spots <EVENT> went <ARGS> Laura went home feeling defeated <EVENT> called <ARGS> The owner called a day later to say she had changed her mind <EVENT> changed <ARGS> she changed her mind
<EVENT> I brush my teeth <EVENT> I went to the bathroom to brush my teeth	<EVENT> went <ARGS> I went to the bathroom to brush my teeth <EVENT> brush <ARGS> I brush my teeth
<EVENT> His friend tossed the ball to him <EVENT> Instead it landed up on the roof <EVENT> Michael decided to climb up to get it <EVENT> Michael climb up to get it <EVENT> he find it	<EVENT> tossed <ARGS> His friend tossed the ball to him <EVENT> landed <ARGS> Instead it landed up on the roof <EVENT> decided <ARGS> Michael decided to climb up to get it <EVENT> climb <ARGS> Michael climb up to get it <EVENT> find <ARGS> he find it
<EVENT> There in the studio was his best friend Alex ready to start the class <EVENT> his best friend Alex start the class	<EVENT> was <ARGS> There in the studio was his best friend Alex ready to start the class <EVENT> start <ARGS> his best friend Alex start the class
<EVENT> Thomas slammed into the tree ending his first day of skiing <EVENT> Thomas ending his first day of skiing	<EVENT> slammed <ARGS> Thomas slammed into the tree ending his first day of skiing <EVENT> ending <ARGS> Thomas ending his first day of skiing
<EVENT> I go to the interview without a tie <EVENT> I decided to go to the interview without a tie <EVENT> I had an interview	<EVENT> had <ARGS> I had an interview <EVENT> decided <ARGS> I decided to go to the interview without a tie <EVENT> go <ARGS> I go to the interview without a tie
<EVENT> he had a huge mess to clean <EVENT> He heard his parents coming to his room <EVENT> Leo eating cereal in his room even though it wasn't allowed <EVENT> his parents coming to his room <EVENT> he retrieve the bowl <EVENT> He quickly threw the bowl behind a shelf <EVENT> he a huge mess clean	<EVENT> eating <ARGS> Leo eating cereal in his room even though it wasn't allowed <EVENT> heard <ARGS> He heard his parents coming to his room <EVENT> coming <ARGS> his parents coming to his room <EVENT> threw <ARGS> He quickly threw the bowl behind a shelf <EVENT> retrieve <ARGS> he retrieve the bowl <EVENT> had <ARGS> he had a huge mess to clean <EVENT> clean <ARGS> he a huge mess clean
<EVENT> He warned his fellow tribesman <EVENT> the barbarian and his tribe went home <EVENT> A barbarian walking through the woods one day <EVENT> He noticed a foreign tribe by his tribe's river <EVENT> He ran home	<EVENT> walking <ARGS> A barbarian walking through the woods one day <EVENT> noticed <ARGS> He noticed a foreign tribe by his tribe's river <EVENT> ran <ARGS> He ran home <EVENT> warned <ARGS> He warned his fellow tribesman <EVENT> went <ARGS> the barbarian and his tribe went home
<EVENT> She went to her room to grab something <EVENT> Maggie just poured a bowl of cereal <EVENT> She eat it <EVENT> She distracted <EVENT> She cleaning for ten minutes <EVENT> Suddenly she remembered her cereal	<EVENT> poured <ARGS> Maggie just poured a bowl of cereal <EVENT> went <ARGS> She went to her room to grab something <EVENT> distracted <ARGS> She distracted <EVENT> cleaning <ARGS> She cleaning for ten minutes <EVENT> remembered <ARGS> Suddenly she remembered her cereal <EVENT> eat <ARGS> She eat it
<EVENT> she dances too loudly at night <EVENT> She receives many complaints because she dances too loudly at night	<EVENT> dances <ARGS> she dances too loudly at night <EVENT> receives <ARGS> She receives many complaints because she dances too loudly at night
<EVENT> I thanked my parents for their support <EVENT> Thankfully my parents let me stay home until I found a job <EVENT> My parents understood	<EVENT> let <ARGS> Thankfully my parents let me stay home until I found a job <EVENT> understood <ARGS> My parents understood <EVENT> thanked <ARGS> I thanked my parents for their support
<EVENT> One Sunday we both had the flu <EVENT> We not missed a date in over three years excluding holidays <EVENT> we both cancel our plans	<EVENT> had <ARGS> One Sunday we both had the flu <EVENT> cancel <ARGS> we both cancel our plans <EVENT> missed <ARGS> We not missed a date in over three years excluding holidays
<EVENT> On this Sunday Greg was high on Marijuana <EVENT> On this Sunday Greg ate his father's pie <EVENT> His father insisted Greg go buy a new apple pie <EVENT> Greg buy a new apple pie	<EVENT> was <ARGS> On this Sunday Greg was high on Marijuana <EVENT> ate <ARGS> On this Sunday Greg ate his father's pie <EVENT> insisted <ARGS> His father insisted Greg go buy a new apple pie <EVENT> buy <ARGS> Greg buy a new apple pie
<EVENT> The boy covered his eyes while his father ran off <EVENT> The boy uncovered his eyes	<EVENT> covered <ARGS> The boy covered his eyes while his father ran off <EVENT> uncovered <ARGS> The boy uncovered his eyes
<EVENT> He one day live there <EVENT> He knew he would have to learn the language <EVENT> He enrolled in a language course to learn spanish <EVENT> Mike dreamed of traveling to his parents country of Mexico <EVENT> He learn spanish	<EVENT> dreamed <ARGS> Mike dreamed of traveling to his parents country of Mexico <EVENT> knew <ARGS> He knew he would have to learn the language <EVENT> enrolled <ARGS> He enrolled in a language course to learn spanish <EVENT> learn <ARGS> He learn spanish <EVENT> live <ARGS> He one day live there
<EVENT> She rob a bank <EVENT> She decides to rob a bank <EVENT> Tami needs money	<EVENT> needs <ARGS> Tami needs money <EVENT> decides <ARGS> She decides to rob a bank <EVENT> rob <ARGS> She rob a bank
<EVENT> sell it <EVENT> In the local Swap Meet he saw a Play Station box that was different <EVENT> He found it's illegal to sell it <EVENT> He researched it	<EVENT> saw <ARGS> In the local Swap Meet he saw a Play Station box that was different <EVENT> researched <ARGS> He researched it <EVENT> found <ARGS> He found it's illegal to sell it <EVENT> sell <ARGS> sell it
<EVENT> After apprehending the suspect he questioned him intensely <EVENT> apprehending the suspect he	<EVENT> apprehending <ARGS> apprehending the suspect he <EVENT> questioned <ARGS> After apprehending the suspect he questioned him intensely
<EVENT> She found a service online to cut the tree down for $ 400 <EVENT> Jane pleased the tree was gone <EVENT> she saved money <EVENT> she wanted cut down <EVENT> Jane had a sick tree she wanted cut down	<EVENT> had <ARGS> Jane had a sick tree she wanted cut down <EVENT> wanted <ARGS> she wanted cut down <EVENT> found <ARGS> She found a service online to cut the tree down for $ 400 <EVENT> pleased <ARGS> Jane pleased the tree was gone <EVENT> saved <ARGS> she saved money
<EVENT> Maddie really wanted a puppy <EVENT> her get her puppy as her reward <EVENT> Maddie's mom took her to get her puppy as her reward	<EVENT> wanted <ARGS> Maddie really wanted a puppy <EVENT> took <ARGS> Maddie's mom took her to get her puppy as her reward <EVENT> get <ARGS> her get her puppy as her reward
<EVENT> I made it way too long <EVENT> I began my work	<EVENT> began <ARGS> I began my work <EVENT> made <ARGS> I made it way too long
<EVENT> His family was excited to see him <EVENT> he was excited to see them	<EVENT> was <ARGS> His family was excited to see him <EVENT> was <ARGS> he was excited to see them
<EVENT> She had no paid time off <EVENT> she do as she pleased <EVENT> She decided to quit her job <EVENT> her savings quickly ran <EVENT> she get a job	<EVENT> had <ARGS> She had no paid time off <EVENT> decided <ARGS> She decided to quit her job <EVENT> do <ARGS> she do as she pleased <EVENT> ran <ARGS> her savings quickly ran <EVENT> get <ARGS> she get a job
<EVENT> He enrolled in a language course to learn spanish <EVENT> He learn spanish	<EVENT> enrolled <ARGS> He enrolled in a language course to learn spanish <EVENT> learn <ARGS> He learn spanish
<EVENT> When I decided I was finished I tried the scarf on <EVENT> I wanted to crochet a scarf	<EVENT> wanted <ARGS> I wanted to crochet a scarf <EVENT> tried <ARGS> When I decided I was finished I tried the scarf on
<EVENT> she loves to play catch with a tennis ball <EVENT> she play catch with a tennis ball	<EVENT> loves <ARGS> she loves to play catch with a tennis ball <EVENT> play <ARGS> she play catch with a tennis ball
<EVENT> Zack, our worn out pitcher weakly threw the ball <EVENT> This extra innings baseball game made us all tired	<EVENT> made <ARGS> This extra innings baseball game made us all tired <EVENT> threw <ARGS> Zack, our worn out pitcher weakly threw the ball
<EVENT> she see the color <EVENT> She laughed in the mirror as it was a crazy color	<EVENT> see <ARGS> she see the color <EVENT> laughed <ARGS> She laughed in the mirror as it was a crazy color
<EVENT> I loved her <EVENT> During lunch at school I met with Glady <EVENT> I wanted to go on a date <EVENT> I took her to the back of portable # 5	<EVENT> met <ARGS> During lunch at school I met with Glady <EVENT> took <ARGS> I took her to the back of portable # 5 <EVENT> loved <ARGS> I loved her <EVENT> wanted <ARGS> I wanted to go on a date
<EVENT> Ashley pulled out a bottle of wine <EVENT> She opened the wine	<EVENT> pulled <ARGS> Ashley pulled out a bottle of wine <EVENT> opened <ARGS> She opened the wine
<EVENT> how much money he may blown on it <EVENT> he continue <EVENT> he lost <EVENT> He would then consider spending money <EVENT> he liked to do for fun	<EVENT> lost <ARGS> he lost <EVENT> consider <ARGS> He would then consider spending money <EVENT> blown <ARGS> how much money he may blown on it <EVENT> liked <ARGS> he liked to do for fun <EVENT> continue <ARGS> he continue
<EVENT> Jim wanted to go home for the holidays <EVENT> Jim went to the airport <EVENT> Jim flew home for the holidays <EVENT> Jim packed his bags <EVENT> His family was excited to see him <EVENT> he was excited to see them <EVENT> Jim booked a plane ticket	<EVENT> wanted <ARGS> Jim wanted to go home for the holidays <EVENT> booked <ARGS> Jim booked a plane ticket <EVENT> packed <ARGS> Jim packed his bags <EVENT> went <ARGS> Jim went to the airport <EVENT> flew <ARGS> Jim flew home for the holidays <EVENT> was <ARGS> His family was excited to see him <EVENT> was <ARGS> he was excited to see them
<EVENT> The interview given by a group of 5 men <EVENT> Pam has an impressive interview <EVENT> She finally got an interview with a good company	<EVENT> got <ARGS> She finally got an interview with a good company <EVENT> given <ARGS> The interview given by a group of 5 men <EVENT> has <ARGS> Pam has an impressive interview
<EVENT> He read the chapters <EVENT> He even made flashcards for the tough questions <EVENT> He took notes on the diagrams and the captions <EVENT> Troy had an important test in school tomorrow <EVENT> He opened his textbook	<EVENT> had <ARGS> Troy had an important test in school tomorrow <EVENT> opened <ARGS> He opened his textbook <EVENT> read <ARGS> He read the chapters <EVENT> took <ARGS> He took notes on the diagrams and the captions <EVENT> made <ARGS> He even made flashcards for the tough questions
<EVENT> However it started charging at Jeff <EVENT> It run away <EVENT> It managed to run away <EVENT> However it turned around	<EVENT> managed <ARGS> It managed to run away <EVENT> run <ARGS> It run away <EVENT> turned <ARGS> However it turned around <EVENT> started <ARGS> However it started charging at Jeff
<EVENT> So after Thanksgiving he decided to start eating his candy <EVENT> His little brother took it all <EVENT> he start eating his candy	<EVENT> took <ARGS> His little brother took it all <EVENT> decided <ARGS> So after Thanksgiving he decided to start eating his candy <EVENT> start <ARGS> he start eating his candy
<EVENT> He found it's illegal to sell it <EVENT> He researched it <EVENT> sell it <EVENT> He read it	<EVENT> read <ARGS> He read it <EVENT> researched <ARGS> He researched it <EVENT> found <ARGS> He found it's illegal to sell it <EVENT> sell <ARGS> sell it
<EVENT> she get a headache <EVENT> she enter the store <EVENT> The scents assaulted Amy's nose <EVENT> She stood grimacing as she began to get a headache <EVENT> She grimacing as she began to get a headache <EVENT> she worked there 10 years ago <EVENT> she was still unable to enter the store <EVENT> In the mall Amy stopped in front of Bath and Body works <EVENT> Amy walked away disgusted she was still unable to enter the store <EVENT> Shen't been in one since she worked there 10 years ago	<EVENT> worked <ARGS> she worked there 10 years ago <EVENT> been <ARGS> Shen't been in one since she worked there 10 years ago <EVENT> stopped <ARGS> In the mall Amy stopped in front of Bath and Body works <EVENT> assaulted <ARGS> The scents assaulted Amy's nose <EVENT> stood <ARGS> She stood grimacing as she began to get a headache <EVENT> grimacing <ARGS> She grimacing as she began to get a headache <EVENT> get <ARGS> she get a headache <EVENT> walked <ARGS> Amy walked away disgusted she was still unable to enter the store <EVENT> was <ARGS> she was still unable to enter the store <EVENT> enter <ARGS> she enter the store
<EVENT> what it was <EVENT> She couldn't tell what it was right away	<EVENT> tell <ARGS> She couldn't tell what it was right away <EVENT> was <ARGS> what it was
<EVENT> Molly just decorated for Christmas <EVENT> She was out of the room when she heard a smash	<EVENT> decorated <ARGS> Molly just decorated for Christmas <EVENT> was <ARGS> She was out of the room when she heard a smash
<EVENT> Cindy never did homework <EVENT> Cindy never blamed her dog for eating it	<EVENT> did <ARGS> Cindy never did homework <EVENT> blamed <ARGS> Cindy never blamed her dog for eating it
<EVENT> A few minutes later it was ready for her grandmother <EVENT> Then she put a tea bag in the water	<EVENT> put <ARGS> Then she put a tea bag in the water <EVENT> was <ARGS> A few minutes later it was ready for her grandmother
<EVENT> he prepared to climb his board <EVENT> Jerry quickly climbed his board	<EVENT> prepared <ARGS> he prepared to climb his board <EVENT> climbed <ARGS> Jerry quickly climbed his board
<EVENT> She told Megan there would still be vegetables to eat <EVENT> On Megan's ninth birthday her mom surprised her	<EVENT> told <ARGS> She told Megan there would still be vegetables to eat <EVENT> surprised <ARGS> On Megan's ninth birthday her mom surprised her
<EVENT> Somehow he made across <EVENT> he hiding them <EVENT> He covered them with a blanket <EVENT> Hen't expect to be searched <EVENT> When he saw the border guards <EVENT> He filled his wagon with them <EVENT> Somehow he kept his cool	<EVENT> filled <ARGS> He filled his wagon with them <EVENT> covered <ARGS> He covered them with a blanket <EVENT> expect <ARGS> Hen't expect to be searched <EVENT> hiding <ARGS> he hiding them <EVENT> saw <ARGS> When he saw the border guards <EVENT> kept <ARGS> Somehow he kept his cool <EVENT> made <ARGS> Somehow he made across
<EVENT> the snacks she wanted <EVENT> Amy could only have one of the snacks she wanted	<EVENT> wanted <ARGS> the snacks she wanted <EVENT> have <ARGS> Amy could only have one of the snacks she wanted
<EVENT> As soon as she started to call the cops he left <EVENT> Hannah dumped her boyfriend before she left school	<EVENT> dumped <ARGS> Hannah dumped her boyfriend before she left school <EVENT> left <ARGS> As soon as she started to call the cops he left
<EVENT> She watching it <EVENT> Instead she asked her boyfriend to stay up with her <EVENT> She go to bed <EVENT> Her boyfriend stayed up with her until she fell asleep	<EVENT> watching <ARGS> She watching it <EVENT> go <ARGS> She go to bed <EVENT> asked <ARGS> Instead she asked her boyfriend to stay up with her <EVENT> stayed <ARGS> Her boyfriend stayed up with her until she fell asleep
<EVENT> Nancy, who contributed nothing to the project started to talk <EVENT> She basically stated everything that I wrote	<EVENT> started <ARGS> Nancy, who contributed nothing to the project started to talk <EVENT> stated <ARGS> She basically stated everything that I wrote
<EVENT> Scared the car wouldn't stop the girls <EVENT> Scared the car wouldn't stop the girls yelled <EVENT> The driver looked at them surprised	<EVENT> Scared <ARGS> Scared the car wouldn't stop the girls <EVENT> yelled <ARGS> Scared the car wouldn't stop the girls yelled <EVENT> looked <ARGS> The driver looked at them surprised
<EVENT> Ida tried almond milk and cereal <EVENT> Ida loved the combination she had discovered	<EVENT> tried <ARGS> Ida tried almond milk and cereal <EVENT> loved <ARGS> Ida loved the combination she had discovered
<EVENT> To her surprise Marissa held out a beautiful dress <EVENT> To her surprise Marissa smiled	<EVENT> smiled <ARGS> To her surprise Marissa smiled <EVENT> held <ARGS> To her surprise Marissa held out a beautiful dress
<EVENT> After apprehending the suspect he questioned him intensely <EVENT> apprehending the suspect he <EVENT> The spy found the diamond <EVENT> The spy got the information	<EVENT> apprehending <ARGS> apprehending the suspect he <EVENT> questioned <ARGS> After apprehending the suspect he questioned him intensely <EVENT> got <ARGS> The spy got the information <EVENT> found <ARGS> The spy found the diamond
<EVENT> the cat was fine <EVENT> Later that day she called to say she was mistaken, the cat was fine <EVENT> the cat died	<EVENT> died <ARGS> the cat died <EVENT> called <ARGS> Later that day she called to say she was mistaken, the cat was fine <EVENT> was <ARGS> the cat was fine
<EVENT> When he saw it was my birthday he gave me a warning <EVENT> When he saw it was my birthday <EVENT> When he saw it was my birthday he let me go <EVENT> Nervously I handed him my license and registration	<EVENT> handed <ARGS> Nervously I handed him my license and registration <EVENT> saw <ARGS> When he saw it was my birthday <EVENT> gave <ARGS> When he saw it was my birthday he gave me a warning <EVENT> let <ARGS> When he saw it was my birthday he let me go
